
2025/01/05 (15:06:45) | ===> btop++ v.1.4.0
2025/01/05 (15:06:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (16:11:06) | ===> btop++ v.1.4.0
2025/01/07 (16:11:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (16:47:03) | ===> btop++ v.1.4.0
2025/01/11 (16:47:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (19:31:40) | ===> btop++ v.1.4.0
2025/01/12 (19:31:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (20:10:06) | ===> btop++ v.1.4.0
2025/01/12 (20:10:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (15:04:11) | ===> btop++ v.1.4.0
2025/01/14 (15:04:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (15:51:44) | ===> btop++ v.1.4.0
2025/01/14 (15:51:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (15:20:12) | ===> btop++ v.1.4.0
2025/01/15 (15:20:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (21:26:29) | ===> btop++ v.1.4.0
2025/01/15 (21:26:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (23:38:58) | ===> btop++ v.1.4.0
2025/01/15 (23:38:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:16:38) | ===> btop++ v.1.4.0
2025/01/17 (15:16:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:48:53) | ===> btop++ v.1.4.0
2025/01/19 (16:48:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:26:15) | ===> btop++ v.1.4.0
2025/01/19 (17:26:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (03:24:36) | ===> btop++ v.1.4.0
2025/01/31 (03:24:36) | WARNING: Intel GPU: Failed to initialize PMU
